,City Name,Latitude,Longitude,Tempurature (C),Humidity (%),Cloudiness (%),Wind Speed (m/s)
330,Lewistown,40.39,-90.15,20.24,82,90,2.1
331,Tiznit,29.7,-9.73,18.55,85,1,3.97
332,Sao Bras de Alportel,37.15,-7.89,18.26,77,0,5.1
333,Sosnovskoye,55.81,43.17,18.93,63,20,2.0
334,Catazaja,17.73,-92.02,33.0,70,75,2.09
335,Shelburne,44.08,-80.2,21.42,60,40,1.0
336,San Rafael,-34.61,-68.33,8.75,45,0,2.7
337,Itaituba,-4.26,-55.99,34.0,49,20,2.6
338,Plettenberg Bay,-34.05,23.37,12.65,73,57,0.97
339,Nha Trang,12.24,109.19,29.0,79,40,1.5
340,Nuuk,64.17,-51.74,20.0,34,20,2.1
341,Hay River,60.82,-115.79,28.0,42,75,2.6
342,Viedma,-40.81,-62.99,12.05,94,100,7.19
343,Altamont,49.4,-98.5,19.37,77,75,4.1
344,Tucuman,-17.17,-70.89,22.75,17,0,3.76
345,Camacha,33.08,-16.33,22.0,78,40,4.6
346,Kiama,-34.67,150.86,11.7,100,34,3.6
347,Avanigadda,16.02,80.92,30.35,55,96,2.81
348,Kahului,20.89,-156.47,25.02,61,20,4.21
349,Port Lincoln,-34.72,135.86,12.95,62,0,10.36
350,Magadan,59.56,150.8,7.65,91,100,5.78
351,Novyy Urengoy,66.08,76.63,9.25,87,28,3.93
352,Mayumba,-3.44,10.65,23.85,85,100,5.92
353,Porto Novo,-23.68,-45.44,24.0,57,75,3.6
354,Sao Gabriel da Cachoeira,-0.13,-67.09,29.0,79,40,2.6
355,Aksu,52.04,76.93,15.0,62,0,5.0
356,Rorvik,64.86,11.24,14.46,62,20,1.5
357,Ribeira Brava,32.65,-17.07,19.65,78,20,8.7
358,Alice Springs,-23.7,133.88,6.0,49,0,2.6
359,Coahuayana,18.62,-100.35,32.35,57,54,1.03
360,Ayan,40.67,33.6,15.25,85,82,1.54
361,Kisangani,0.52,25.21,23.55,67,63,0.22
362,Toora-Khem,52.47,96.11,2.15,96,4,1.66
363,Hovd,63.83,10.7,15.56,59,0,4.1
364,Araouane,18.9,-3.53,43.55,7,0,6.0
365,Mildura,-34.18,142.16,7.57,87,100,1.5
366,College,64.86,-147.8,18.11,52,1,2.6
367,Bandarbeyla,9.49,50.81,27.65,60,7,11.36
368,San-Pedro,4.75,-6.64,24.65,93,45,2.23
369,Lazaro Cardenas,28.39,-105.62,31.84,13,20,5.1
370,Ishinomaki,38.42,141.3,11.05,91,0,1.58
371,Rovaniemi,66.5,25.72,18.0,68,75,2.1
372,Ugoofaaru,5.67,73.0,28.75,80,69,5.39
373,Eyl,7.98,49.82,28.95,52,21,9.78
374,Alugan,12.22,125.48,24.35,92,16,1.14
375,Kieta,-6.22,155.63,26.75,78,96,2.41
376,Kalabo,-15.0,22.67,16.95,38,0,2.31
377,Sumter,33.92,-80.34,32.89,55,1,3.1
378,Joao Pinheiro,-17.74,-46.17,25.75,42,9,1.53
379,Tateyama,36.66,137.31,14.77,92,91,0.82
380,Mubi,10.27,13.26,31.15,47,36,1.94
381,North Las Vegas,36.2,-115.11,30.89,22,1,3.6
382,Ustyuzhna,58.84,36.43,18.05,67,100,1.47
383,Baherden,38.44,57.43,26.65,18,0,3.21
384,Novopokrovka,45.85,134.51,11.75,97,100,1.2
385,Hassleholm,56.16,13.77,20.1,60,20,3.1
386,Pitimbu,-7.47,-34.81,25.0,94,90,1.0
387,Imeni Babushkina,59.76,43.13,16.15,70,64,1.87
388,Abu Samrah,35.3,37.18,23.85,60,0,7.22
389,Husavik,50.56,-96.99,19.18,58,79,2.24
390,Bonavista,48.65,-53.11,5.0,84,78,2.68
391,Hukuntsi,-23.98,21.76,15.25,34,25,2.69
392,Joshimath,30.57,79.57,9.75,66,85,3.2
393,Sterling,39.0,-77.4,30.9,55,40,2.54
394,Bambanglipuro,-7.95,110.28,23.85,86,32,4.76
395,Baiyin,36.55,104.13,14.0,76,0,2.0
396,Ahipara,-35.17,173.16,14.95,63,94,4.43
397,Caravelas,-17.73,-39.27,24.95,70,9,4.92
398,La Sarre,48.8,-79.2,20.35,33,1,3.25
399,Sao Miguel do Araguaia,-13.28,-50.16,33.15,25,0,2.51
400,Kuliyapitiya,7.47,80.04,29.0,83,40,4.6
401,Lakes Entrance,-37.88,147.99,0.64,95,85,3.32
402,Tuatapere,-46.13,167.69,8.95,69,97,4.08
